"TheoremLabel","Assumptions","Method","Status","ScopeClass","SurrogateBlindSpots","CertificateArtifact","CounterexampleArtifact","RepresentativeModelFamily","NoApproximationQ","Source","Acceptance"
"task:boundary-class-defined-derivation-strong","Controlled boundary sector and ambiguity directions on split+welded boundary models.","Exact operator-level criterion for literal ambiguity triviality on the controlled sector.","deferred","deferred","Strong class-definedness is tested only on explicit split+welded toy models.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2140-2177 plus WL boundary-sector lane",""
"task:boundary-class-defined-derivation-mod-null","Controlled boundary sector and a chosen boundary null ideal on the completion sector B.","Exact representative-independence criterion modulo the boundary null ideal.","deferred","deferred","The boundary null ideal is model data rather than a derived AQFT/HLS object.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2140-2177 plus WL boundary-sector lane",""
"task:boundary-expectation-vs-operator-invisibility","Controlled boundary sector together with diagonal boundary-classical states.","Exact comparison of operator-level invisibility and expectation-level invisibility.","deferred","deferred","Expectation-level invisibility is tested only against the chosen diagonal boundary-classical state family.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:643-792 plus WL boundary-sector lane",""
"task:boundary-nontriviality-test","Controlled boundary sector, boundary null ideal, and a candidate boundary generator J.","Exact search for a nonzero induced boundary derivation with ambiguity invisibility modulo the boundary null ideal.","deferred","deferred","Nontriviality is shown on explicit exact split+welded toy models rather than the transported full UOM ambiguity class.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:743-856 plus WL split+welded boundary lane",""
"task:boundary-calibration-decision","Strict record sector, controlled boundary sector, and split+welded safe/unsafe/borderline ambiguity families.","Exact finite-cutoff decision between strict trivial invariance, nontrivial controlled invariance, and visible failure.","deferred","deferred","The decision is conditional on the chosen split+welded toy families and is not yet a theorem of the full Main/UOM stack.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:743-856 plus WL split+welded boundary lane",""
"thm:controlled-boundary-block-centrality-strong","Controlled boundary observables Sum_i Pi^(A) ⊗ O_i^(B) and a controlled ambiguity operator with diagonal B-blocks K_i^(B).","Exact blockwise commutator reduction and centrality equivalence on full matrix blocks.","deferred","deferred","The theorem is proved on exact finite matrix blocks rather than an infinite-dimensional boundary algebra.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:743-856 plus WL controlled-boundary block-centrality lane",""
"thm:controlled-boundary-block-centrality-mod-null","Controlled boundary observables together with a chosen boundary null ideal on each B-block.","Exact blockwise commutator reduction and mod-null centrality equivalence.","deferred","deferred","The boundary null ideal is still represented by an explicit finite-dimensional block subspace.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:743-856 plus WL controlled-boundary block-centrality lane",""
"rem:expectation-invisibility-insufficient","Controlled boundary observables and boundary-classical state families on the split+welded sector.","Exact comparison of expectation-level invisibility against operator-level and mod-null class-definedness.","deferred","deferred","Expectation-level invisibility is only checked on the explicit boundary-classical state family.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:643-856 plus WL controlled-boundary block-centrality lane",""
"task:boundary-null-ideal-candidates","Natural split+welded boundary null-ideal candidates such as the readout kernel, block-trace-zero blocks, and state-invisible operators.","Exact model-by-model comparison of stability, nontriviality, and borderline-family absorption.","deferred","deferred","The candidate list is finite and tied to explicit split+welded finite-cutoff semantics.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:643-856 plus WL boundary-null-ideal comparison lane",""
"task:transported-boundary-ambiguity-audit","Actual weak-interface transport export (Eminus, Aminus, XiClass, Chi, Epsilon) together with exact split+welded boundary realizations.","Exact audit of the exported ambiguity basis under controlled boundary projection and natural null-ideal candidates.","deferred","deferred","Boundary realizations of the transported ambiguity basis are explicit finite-dimensional models rather than a theorem of the abstract transport semantics.","Deferred","Deferred","To be assigned",true,"UOM/active_response_transport_program_note.tex:1821-1960 plus WL transported-boundary audit lane",""
"task:selector-necessity-decision","Boundary block-centrality theorems, natural null-ideal comparison, and the transported ambiguity audit.","Exact binary decision between structural boundary safety and selector necessity.","deferred","deferred","The decision is finite-cutoff and does not yet incorporate AQFT/HLS or LoG selector data.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2140-2177 plus WL selector-necessity decision lane",""
"task:uom-welded-bandlocked-channel","Exact co-centered, band-locked compressed welded LoG channel at one accepted tick.","Exact welded-channel realization using the compressed, co-centered, band-locked LoG line and descended dominant scalar factorization.","exact finite-dimensional certificate","finite-dimensional-theorem-certificate","The line/channel structure is imported from the proved UOM welded-shape and band-lock analysis rather than rederived from convolution integrals inside WL.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/UOMWeldedBoundaryAudit_Certificates.wl::TaskUOMWeldedChannel","/home/kray-l8/work/2T/Main/Mathematica/Certificates/UOMWeldedBoundaryAudit_Certificates.wl::TaskUOMWeldedChannel.LegacyUnsafeWitness","uom_exact_welded_bandlocked_log_channel",true,"UOM/main.tex:458-488, 6503-6525; UOM/compressed_log_spectral_selection_note.tex:18-95","Exact welded boundary image factors through the descended dominant scalar on the one-dimensional compressed welded LoG channel."
"task:uom-subcutoff-fact-preservation","Accepted record algebra under commuting QND/CPTP evolution below cutoff.","Exact finite-dimensional symbolic audit of commuting QND dephasing and accepted-record projection on the pointer algebra.","exact finite-dimensional certificate","finite-dimensional-theorem-certificate","The full infinite-dimensional band-limited Hilbert space is represented by exact finite-dimensional symbolic pointer models.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/UOMWeldedBoundaryAudit_Certificates.wl::TaskUOMFactPreservation","None","Generic symbolic commuting dephasing kernel on a finite pointer basis",true,"UOM/main.tex:5076-5093, 7280-7298, 9070-9086","Accepted-record projection preserves all record expectations exactly and is fixed by the commuting QND tick."
"task:uom-transported-welded-boundary-audit","Actual weak-interface transport export composed with the exact welded/fact-preserving boundary image.","Exact re-audit using the descended dominant scalar, the one-dimensional compressed welded LoG channel, and exact accepted-record preservation below cutoff.","exact finite-dimensional certificate","finite-dimensional-theorem-certificate","This certifies the preserved compiled/welded boundary image, not the full unreduced completion-sector operator algebra.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/UOMWeldedBoundaryAudit_Certificates.wl::TaskUOMWeldedBoundaryAudit","/home/kray-l8/work/2T/Main/Mathematica/Certificates/UOMWeldedBoundaryAudit_Certificates.wl::TaskUOMWeldedBoundaryAudit.Model.Channel","Certified active-transport export + exact compressed welded LoG line + exact accepted-record projection",true,"UOM/active_response_transport_program_note.tex:1821-1960 together with UOM welded/accepted-record structure","Transported ambiguity basis is annihilated on the exact welded/fact-preserving boundary image, while the class representative survives as the epsilon-weighted welded LoG line."
"task:uom-welded-boundary-decision","Comparison between the old generic splitBlock boundary realization and the reworked UOM welded/fact-preserving realization.","Exact comparison between the old generic split surrogate and the reworked UOM welded/fact-preserving boundary image.","exact finite-dimensional certificate","finite-dimensional-theorem-certificate","The decision is about the exact welded preserved channel and leaves the unreduced Gaussian completion-sector operator reconstruction open.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/UOMWeldedBoundaryAudit_Certificates.wl::TaskUOMWeldedBoundaryDecision","/home/kray-l8/work/2T/Main/Mathematica/Certificates/UOMWeldedBoundaryAudit_Certificates.wl::TaskUOMWeldedChannel.LegacyUnsafeWitness","Reworked UOM welded boundary lane",true,"Main Mathematica rework lane grounded in UOM welded/fact-preserving structure","On the exact co-centered, band-locked welded LoG boundary channel with exact accepted-record preservation, the transported ambiguity class is annihilated on the physical boundary image; the earlier visible ambiguity countermodels were artifacts of generic splitBlock and generic A⊗B realization choices."
"task:Peierls-odd-derivation","Explicit associative bracket model with parity involution and odd generator J.","Exact basis-level derivation and Gamma-odd checks.","deferred","deferred","Only explicit finite-dimensional bracket models are audited. | Locality and AQFT/HLS remain imported.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2055-2130",""
"task:delta-calibration-sensitivity","Two canonical representatives Jcan_B1 and Jcan_B2 in an explicit bracket model.","Exact derivation-difference formula plus ambiguity-triviality tests on the physical sector.","deferred","deferred","Physical invisibility is represented by explicit bracket-trivial ambiguity directions. | No AQFT/HLS physical-sector reconstruction is performed.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2072-2084 plus WL calibration-sensitivity lane",""
"thm:finite-cutoff-canonical-odd-spectral-selection","Certified compressed spectral regime and rank-one LoG operator.","Exact eigenvalue/projector certificates.","deferred","deferred","Branchwise smooth transport of the projector may remain an imported input.","Deferred","Deferred","To be assigned",true,"UOM/compressed_log_spectral_selection_note.tex:259-288",""
"thm:Main-Peierls-Hamiltonization","Canonical representative plus imported bracket axioms on a concrete model.","Formal rewrite + exact model checks.","deferred","abstract-imported-assumptions","Bracket locality and AQFT/HLS semantics stay imported. | Only explicit concrete models can be machine-audited here.","Deferred","Deferred","Explicit bracket models only",true,"Main/appendix_main.tex:2072-2084",""
