"TheoremLabel","Assumptions","Method","Status","ScopeClass","SurrogateBlindSpots","CertificateArtifact","CounterexampleArtifact","RepresentativeModelFamily","NoApproximationQ","Source","Acceptance"
"task:Jcan-branch-regularity","Rational or polynomial branch data U(lambda), B(lambda), J0(lambda) with invertible Gram block.","Exact projector formula with rational-function continuity certified away from Gram-block degeneracy.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","Only rational/polynomial finite-cutoff branch data are audited. | The statement does not address infinite-dimensional branch regularity.","Deferred","Deferred","Exact valid and Gram-degenerate branch examples",true,"Main/appendix_main.tex:1837-1870 plus finite-dimensional projector formula remark",""
"task:calibration-comparison","Two admissible positive calibrations B1, B2 on the same affine class J0 + im(U).","Exact projector comparison Jcan_B = (I - P_A^B) J0, with DeltaJ in Aminus and visibility-map invariance when the visible map kills Aminus.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","Only fixed-cutoff exact matrix calibrations are compared. | Physical invisibility is represented by explicit visible maps that kill Aminus, not by AQFT/HLS semantics.","Deferred","Deferred","Exact admissible-calibration pairs with one non-invariant and one projector-equal comparison family",true,"Main/appendix_main.tex:1787-1917 plus WL calibration-comparison lane",""
"task:ambiguity-trivial-on-physical-sector","Odd generator shift J -> J + A with A in Aminus on an explicit bracket model.","Exact proof that delta_{J + A} - delta_J = ad_A and that ad_A vanishes on the physical sector.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","Only explicit finite-dimensional bracket models are audited.","Deferred","Deferred","Exact five-basis invisible-ambiguity commutator model",true,"Main/appendix_main.tex:2055-2140 plus WL ambiguity-physical-sector lane",""
"task:ambiguity-trivial-mod-null-ideal","Odd generator shift J -> J + A with A in Aminus on an explicit bracket model with a physical null ideal.","Exact proof that ad_A on the physical sector lands in the physical null ideal while remaining nonzero.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","The physical null ideal is represented by an explicit finite-dimensional subspace.","Deferred","Deferred","Exact five-basis null-ideal ambiguity model",true,"Main/appendix_main.tex:2055-2140 plus WL ambiguity-physical-sector lane",""
"task:ambiguity-physically-visible","Odd generator shift J -> J + A with A in Aminus on an explicit bracket model.","Exact visible countermodel where ad_A acts nontrivially on the physical sector outside the null ideal.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","Physical visibility is shown only on explicit bracket models.","Deferred","Deferred","Exact five-basis visible-ambiguity commutator model",true,"Main/appendix_main.tex:2055-2140 plus WL ambiguity-physical-sector lane",""
"task:class-defined-physical-derivation","Physical sector, physical null ideal, and ambiguity directions on an explicit bracket model.","Exact quotient theorem: ad_A maps the physical sector into the null ideal iff the induced physical derivation is representative-independent modulo that ideal.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","The physical quotient and null ideal are represented by explicit finite-dimensional subspaces. | No abstract AQFT/HLS quotient construction is attempted.","Deferred","Deferred","Exact on-the-nose, null-ideal, and visible ambiguity model family",true,"Main/appendix_main.tex:2055-2140 plus WL class-defined-derivation lane",""
"task:strict-boundary-record-invariance","Boundary readout on the strict record sector D_A ⊗ 1_B with classical ledger projectors on A.","Exact symbolic proof that BoundaryReadout([X,O]) = 0 for all strict-record observables O in D_A ⊗ 1_B.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","The proof is finite-dimensional and exact for the tested dimensions only. | The induced strict-record derivation is collapsed by the readout map itself.","Deferred","Deferred","Generic symbolic strict-record sectors on dimensions (2,2), (2,3), and (3,2)",true,"UOM/summability_split_note.tex:643-792 plus WL boundary-sector lane",""
"task:controlled-boundary-reduction","Controlled boundary observables Sum_i Pi^(A) ⊗ O_i^(B) and a general ambiguity operator K on A ⊗ B.","Exact symbolic reduction under controlled projection: off-diagonal ledger ambiguity is killed and only diagonal controlled B-block commutators survive.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","The reduction is proved on finite matrix algebras with rank-one ledger projectors.","Deferred","Deferred","Generic symbolic controlled sectors on dimensions (2,2), (2,3), and (3,2)",true,"UOM/summability_split_note.tex:743-792 plus WL boundary-sector lane",""
"task:boundary-class-defined-derivation-strong","Controlled boundary sector and ambiguity directions on split+welded boundary models.","Exact controlled-sector criterion with literal operator-level ambiguity triviality.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","Strong class-definedness is tested only on explicit split+welded toy families.","Deferred","Deferred","Safe off-diagonal, unsafe visible, and borderline null-ideal families",true,"Main/appendix_main.tex:2140-2177 plus WL boundary-sector lane",""
"task:boundary-class-defined-derivation-mod-null","Controlled boundary sector and a chosen boundary null ideal on the completion sector B.","Exact controlled-sector criterion modulo the chosen boundary null ideal.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","The boundary null ideal is model data, not yet derived from an abstract AQFT/HLS construction.","Deferred","Deferred","Safe off-diagonal, unsafe visible, and borderline null-ideal families",true,"Main/appendix_main.tex:2140-2177 plus WL boundary-sector lane",""
"task:boundary-expectation-vs-operator-invisibility","Controlled boundary sector together with diagonal boundary-classical states.","Side-by-side exact comparison of operator-level and boundary-classical expectation-level invisibility.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","Expectation-level invisibility is tested only against the chosen diagonal boundary-classical states.","Deferred","Deferred","Unsafe 2x2 controlled-visible family",true,"UOM/summability_split_note.tex:643-792 plus WL boundary-sector lane",""
"task:boundary-nontriviality-test","Controlled boundary sector, boundary null ideal, and a candidate boundary generator J.","Exact search for a controlled-sector family with nonzero induced derivation and ambiguity invisibility modulo the boundary null ideal.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","The nontriviality test is established on explicit split+welded toy families rather than a full transported ambiguity class.","Deferred","Deferred","Borderline 2x3 split+welded null-ideal family",true,"UOM/summability_split_note.tex:743-856 plus WL split+welded boundary lane",""
"task:boundary-calibration-decision","Strict record sector, controlled boundary sector, and split+welded safe/unsafe/borderline ambiguity families.","Decision extracted from exact strict-record theorems plus safe/unsafe/borderline split+welded model families.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","Decision A is conditional on the diagonal controlled ambiguity criterion and is not yet derived from the full Main/UOM assumptions.","Deferred","Deferred","Strict-record theorem family plus split+welded safe/unsafe/borderline families",true,"UOM/summability_split_note.tex:743-856 plus WL split+welded boundary lane",""
"thm:controlled-boundary-block-centrality-strong","Controlled boundary observables Sum_i Pi^(A) ⊗ O_i^(B) and a controlled ambiguity operator with diagonal B-blocks K_i^(B).","Exact controlled commutator reduction plus blockwise commutator checks against the full B-block basis.","exact finite-dimensional certificate","finite-dimensional-theorem-certificate","The theorem is proved on exact finite matrix blocks rather than an infinite-dimensional boundary algebra.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/TransportedBoundarySelectorDecision_Certificates.wl::Task20BoundaryBlockCentrality.StrongTheorem_2x2","/home/kray-l8/work/2T/Main/Mathematica/Certificates/TransportedBoundarySelectorDecision_Certificates.wl::Task20BoundaryBlockCentrality.UnsafeFamily.WitnessImage","SafeOffDiagonalFamily, UnsafeControlledVisibleFamily, BorderlineNullIdealFamily",true,"UOM/summability_split_note.tex:743-856 plus WL controlled-boundary block-centrality lane","Controlled operator-level class-definedness is equivalent to blockwise centrality on the surviving B-blocks."
"thm:controlled-boundary-block-centrality-mod-null","Controlled boundary observables together with a chosen boundary null ideal on each B-block.","Exact controlled commutator reduction plus blockwise commutator membership tests in the boundary null ideal.","exact finite-dimensional certificate","finite-dimensional-theorem-certificate","The boundary null ideal is still represented by an explicit finite-dimensional block subspace.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/TransportedBoundarySelectorDecision_Certificates.wl::Task20BoundaryBlockCentrality.BorderlineFamily","/home/kray-l8/work/2T/Main/Mathematica/Certificates/TransportedBoundarySelectorDecision_Certificates.wl::Task20BoundaryBlockCentrality.UnsafeFamily.WitnessImage","SafeOffDiagonalFamily, UnsafeControlledVisibleFamily, BorderlineNullIdealFamily",true,"UOM/summability_split_note.tex:743-856 plus WL controlled-boundary block-centrality lane","Controlled mod-null class-definedness is equivalent to block-centrality modulo the chosen boundary null ideal."
"rem:expectation-invisibility-insufficient","Controlled boundary observables and boundary-classical state families on the split+welded sector.","Exact unsafe-family witness with vanishing expectations on boundary-classical states but nonzero operator-level controlled commutator.","exact finite-dimensional certificate","finite-dimensional-theorem-certificate","Expectation-level invisibility is only checked on the explicit boundary-classical state family.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/TransportedBoundarySelectorDecision_Certificates.wl::Task20BoundaryBlockCentrality.UnsafeFamily","/home/kray-l8/work/2T/Main/Mathematica/Certificates/TransportedBoundarySelectorDecision_Certificates.wl::Task20BoundaryBlockCentrality.UnsafeFamily.WitnessImage","UnsafeControlledVisibleFamily",true,"UOM/summability_split_note.tex:643-856 plus WL controlled-boundary block-centrality lane","Expectation-level invisibility is shown insufficient by an exact controlled-sector witness."
"task:boundary-null-ideal-candidates","Natural split+welded boundary null-ideal candidates such as the readout kernel, block-trace-zero blocks, and state-invisible operators.","Exact model-by-model comparison of natural boundary null ideals: readout-kernel, block-trace-zero, and state-invisible candidates.","exact finite-dimensional certificate","finite-dimensional-theorem-certificate","The candidate list is finite and tied to explicit split+welded finite-cutoff semantics.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/TransportedBoundarySelectorDecision_Certificates.wl::Task21BoundaryNullIdealCandidates","/home/kray-l8/work/2T/Main/Mathematica/Certificates/TransportedBoundarySelectorDecision_Certificates.wl::Task21BoundaryNullIdealCandidates.CandidateAudits.readout-kernel","SafeOffDiagonalFamily, UnsafeControlledVisibleFamily, BorderlineNullIdealFamily",true,"UOM/summability_split_note.tex:643-856 plus WL boundary-null-ideal comparison lane","No tested natural candidate is simultaneously stable, nontrivial, and able to absorb the borderline safe family."
"task:transported-boundary-ambiguity-audit","Actual weak-interface transport export (Eminus, Aminus, XiClass, Chi, Epsilon) together with exact split+welded boundary realizations.","Exact audit of the actual exported Aminus basis under safe and unsafe split+welded boundary realizations derived from the certified weak-interface transport model.","exact finite-dimensional certificate","exact-model-certificate","Boundary realizations of the transported ambiguity basis are explicit finite-dimensional models rather than a theorem of the abstract transport semantics.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/TransportedBoundarySelectorDecision_Certificates.wl::Task22TransportedBoundaryAudit","/home/kray-l8/work/2T/Main/Mathematica/Certificates/TransportedBoundarySelectorDecision_Certificates.wl::Task22TransportedBoundaryAudit.TransportedUnsafeWitness","TransportedSafeFamily, TransportedUnsafeFamily built from CertifiedActiveTransportModel weak-interface export",true,"UOM/active_response_transport_program_note.tex:1821-1960 plus WL transported-boundary audit lane","The same exported transported ambiguity basis admits exact safe and unsafe boundary realizations, so boundary safety is not forced by the weak-interface transport structure alone."
"task:selector-necessity-decision","Boundary block-centrality theorems, natural null-ideal comparison, and the transported ambiguity audit.","Exact synthesis of boundary block-centrality, natural null-ideal comparison, and transported ambiguity audit on the certified weak-interface export.","exact finite-dimensional certificate","finite-dimensional-theorem-certificate","The decision is finite-cutoff and does not yet incorporate AQFT/HLS or LoG selector data.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/TransportedBoundarySelectorDecision_Certificates.wl::Task23SelectorNecessityDecision","/home/kray-l8/work/2T/Main/Mathematica/Certificates/TransportedBoundarySelectorDecision_Certificates.wl::Task22TransportedBoundaryAudit.TransportedUnsafeWitness","Controlled boundary strong/mod-null theorem families plus transported safe/unsafe realizations of CertifiedActiveTransportModel",true,"Main/appendix_main.tex:2140-2177 plus WL selector-necessity decision lane","That does not follow from the transported structure; visible diagonal controlled ambiguity survives, so a preferred selector must be promoted to core status."
"task:Peierls-odd-derivation","Explicit associative bracket model with parity involution and odd generator J.","Exact associative-model commutator bracket with parity involution; delta_J(A) = {J, A} checked on basis products.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","The bracket lane is audited only on explicit associative models. | Locality/AQFT/HLS semantics remain imported metadata.","Deferred","Deferred","Exact four-basis associative commutator models with parity involution",true,"Main/appendix_main.tex:2055-2130",""
"task:delta-calibration-sensitivity","Two canonical representatives Jcan_B1 and Jcan_B2 in an explicit bracket model.","Exact derivation-difference formula delta_B1 - delta_B2 = ad_{Jcan_B1 - Jcan_B2}, plus ambiguity-trivial and ambiguity-visible bracket models.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","Physical invisibility is represented by explicit bracket-trivial ambiguity models. | No AQFT/HLS observable-sector completion is attempted.","Deferred","Deferred","Exact ambiguity-trivial and ambiguity-visible commutator models",true,"Main/appendix_main.tex:2072-2084 plus WL calibration-sensitivity lane",""
"thm:finite-cutoff-canonical-odd-spectral-selection","Certified compressed spectral regime and rank-one LoG operator.","Exact eigenvalue/projector certificates.","deferred","deferred","Branchwise smooth transport of the projector may remain an imported input.","Deferred","Deferred","To be assigned",true,"UOM/compressed_log_spectral_selection_note.tex:259-288",""
"thm:Main-Peierls-Hamiltonization","Canonical representative plus imported bracket axioms on a concrete model.","Formal rewrite + exact model checks.","deferred","abstract-imported-assumptions","Bracket locality and AQFT/HLS semantics stay imported. | Only explicit concrete models can be machine-audited here.","Deferred","Deferred","Explicit bracket models only",true,"Main/appendix_main.tex:2072-2084",""
