"TheoremLabel","Assumptions","Method","Status","ScopeClass","SurrogateBlindSpots","CertificateArtifact","CounterexampleArtifact","RepresentativeModelFamily","NoApproximationQ","Source","Acceptance"
"task:Jcan-branch-regularity","Rational or polynomial branch data U(lambda), B(lambda), J0(lambda) with invertible Gram block.","Exact rational-function regularity audit for the projector formula.","deferred","deferred","Only rational/polynomial finite-cutoff branch data are audited.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:1837-1870 plus finite-dimensional projector formula remark",""
"task:calibration-comparison","Two admissible positive calibrations B1, B2 on the same affine class J0 + im(U).","Exact projector comparison and visibility-map invariance tests.","deferred","deferred","Physical invisibility is represented by exact finite-dimensional visible maps killing Aminus. | No infinite-dimensional physical-sector semantics are built here.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:1787-1917 plus WL calibration-comparison lane",""
"task:ambiguity-trivial-on-physical-sector","Odd generator shift J -> J + A with A in Aminus on an explicit bracket model.","Exact proof that ad_A vanishes on the physical sector.","deferred","deferred","Only explicit finite-dimensional bracket models are audited.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2055-2140 plus WL ambiguity-physical-sector lane",""
"task:ambiguity-trivial-mod-null-ideal","Odd generator shift J -> J + A with A in Aminus on an explicit bracket model with a physical null ideal.","Exact proof that ad_A lands in the physical null ideal while remaining nonzero.","deferred","deferred","The physical null ideal is represented by an explicit finite-dimensional subspace.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2055-2140 plus WL ambiguity-physical-sector lane",""
"task:ambiguity-physically-visible","Odd generator shift J -> J + A with A in Aminus on an explicit bracket model.","Exact countermodel where ad_A survives on the physical sector outside the null ideal.","deferred","deferred","Physical visibility is shown only on explicit bracket models.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2055-2140 plus WL ambiguity-physical-sector lane",""
"task:class-defined-physical-derivation","Physical sector, physical null ideal, and ambiguity directions on an explicit bracket model.","Exact quotient test for representative-independence modulo the null ideal.","deferred","deferred","The physical quotient is represented by an explicit finite-dimensional null-ideal quotient. | No abstract AQFT/HLS quotient construction is attempted.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2055-2140 plus WL class-defined-derivation lane",""
"task:strict-boundary-record-invariance","Boundary readout on the strict record sector D_A ⊗ 1_B with classical ledger projectors on A.","Exact symbolic proof that BoundaryReadout([X,O]) vanishes on the strict record sector.","deferred","deferred","The readout is the exact finite-dimensional pinch_A after partial trace over B. | Approximate end-of-aeon classicality is idealized as exact ledger diagonality.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:643-792 plus WL boundary-sector lane",""
"task:controlled-boundary-reduction","Controlled boundary observables Sum_i Pi^(A) ⊗ O_i^(B) and a general ambiguity operator K on A ⊗ B.","Exact symbolic reduction of controlled-projected commutators to diagonal controlled B-block commutators.","deferred","deferred","The theorem is proved on explicit finite matrix algebras with rank-one ledger projectors. | No infinite-dimensional completion or AQFT/HLS controlled sector is constructed.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:743-792 plus WL boundary-sector lane",""
"task:boundary-class-defined-derivation-strong","Controlled boundary sector and ambiguity directions on split+welded boundary models.","Exact operator-level criterion for literal ambiguity triviality on the controlled sector.","deferred","deferred","Strong class-definedness is tested only on explicit split+welded toy models.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2140-2177 plus WL boundary-sector lane",""
"task:boundary-class-defined-derivation-mod-null","Controlled boundary sector and a chosen boundary null ideal on the completion sector B.","Exact representative-independence criterion modulo the boundary null ideal.","deferred","deferred","The boundary null ideal is model data rather than a derived AQFT/HLS object.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2140-2177 plus WL boundary-sector lane",""
"task:boundary-expectation-vs-operator-invisibility","Controlled boundary sector together with diagonal boundary-classical states.","Exact comparison of operator-level invisibility and expectation-level invisibility.","deferred","deferred","Expectation-level invisibility is tested only against the chosen diagonal boundary-classical state family.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:643-792 plus WL boundary-sector lane",""
"task:boundary-nontriviality-test","Controlled boundary sector, boundary null ideal, and a candidate boundary generator J.","Exact search for a nonzero induced boundary derivation with ambiguity invisibility modulo the boundary null ideal.","deferred","deferred","Nontriviality is shown on explicit exact split+welded toy models rather than the transported full UOM ambiguity class.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:743-856 plus WL split+welded boundary lane",""
"task:boundary-calibration-decision","Strict record sector, controlled boundary sector, and split+welded safe/unsafe/borderline ambiguity families.","Exact finite-cutoff decision between strict trivial invariance, nontrivial controlled invariance, and visible failure.","deferred","deferred","The decision is conditional on the chosen split+welded toy families and is not yet a theorem of the full Main/UOM stack.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:743-856 plus WL split+welded boundary lane",""
"thm:controlled-boundary-block-centrality-strong","Controlled boundary observables Sum_i Pi^(A) ⊗ O_i^(B) and a controlled ambiguity operator with diagonal B-blocks K_i^(B).","Exact blockwise commutator reduction and centrality equivalence on full matrix blocks.","deferred","deferred","The theorem is proved on exact finite matrix blocks rather than an infinite-dimensional boundary algebra.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:743-856 plus WL controlled-boundary block-centrality lane",""
"thm:controlled-boundary-block-centrality-mod-null","Controlled boundary observables together with a chosen boundary null ideal on each B-block.","Exact blockwise commutator reduction and mod-null centrality equivalence.","deferred","deferred","The boundary null ideal is still represented by an explicit finite-dimensional block subspace.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:743-856 plus WL controlled-boundary block-centrality lane",""
"rem:expectation-invisibility-insufficient","Controlled boundary observables and boundary-classical state families on the split+welded sector.","Exact comparison of expectation-level invisibility against operator-level and mod-null class-definedness.","deferred","deferred","Expectation-level invisibility is only checked on the explicit boundary-classical state family.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:643-856 plus WL controlled-boundary block-centrality lane",""
"task:boundary-null-ideal-candidates","Natural split+welded boundary null-ideal candidates such as the readout kernel, block-trace-zero blocks, and state-invisible operators.","Exact model-by-model comparison of stability, nontriviality, and borderline-family absorption.","deferred","deferred","The candidate list is finite and tied to explicit split+welded finite-cutoff semantics.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:643-856 plus WL boundary-null-ideal comparison lane",""
"task:transported-boundary-ambiguity-audit","Actual weak-interface transport export (Eminus, Aminus, XiClass, Chi, Epsilon) together with exact split+welded boundary realizations.","Exact audit of the exported ambiguity basis under controlled boundary projection and natural null-ideal candidates.","deferred","deferred","Boundary realizations of the transported ambiguity basis are explicit finite-dimensional models rather than a theorem of the abstract transport semantics.","Deferred","Deferred","To be assigned",true,"UOM/active_response_transport_program_note.tex:1821-1960 plus WL transported-boundary audit lane",""
"task:selector-necessity-decision","Boundary block-centrality theorems, natural null-ideal comparison, and the transported ambiguity audit.","Exact binary decision between structural boundary safety and selector necessity.","deferred","deferred","The decision is finite-cutoff and does not yet incorporate AQFT/HLS or LoG selector data.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2140-2177 plus WL selector-necessity decision lane",""
"task:uom-welded-bandlocked-channel","Exact co-centered, band-locked compressed welded LoG channel at one accepted tick.","Exact welded-line realization factoring through the descended dominant scalar.","deferred","deferred","The line/channel structure is imported from the proved UOM welded-shape and band-lock analysis rather than rederived from convolution integrals inside WL.","Deferred","Deferred","To be assigned",true,"UOM/main.tex:458-488, 6503-6525; UOM/compressed_log_spectral_selection_note.tex:18-95",""
"task:uom-subcutoff-fact-preservation","Accepted record algebra under commuting QND/CPTP evolution below cutoff.","Exact symbolic diagonal-record projection and commuting dephasing audit.","deferred","deferred","The full infinite-dimensional band-limited Hilbert space is represented by exact finite-dimensional symbolic pointer models.","Deferred","Deferred","To be assigned",true,"UOM/main.tex:5076-5093, 7280-7298, 9070-9086",""
"task:uom-transported-welded-boundary-audit","Actual weak-interface transport export composed with the exact welded/fact-preserving boundary image.","Exact ambiguity audit after factorization through the descended dominant scalar on the welded LoG line.","deferred","deferred","This certifies the preserved compiled/welded boundary image, not the full unreduced completion-sector operator algebra.","Deferred","Deferred","To be assigned",true,"UOM/active_response_transport_program_note.tex:1821-1960 together with UOM welded/accepted-record structure",""
"task:uom-welded-boundary-decision","Comparison between the old generic splitBlock boundary realization and the reworked UOM welded/fact-preserving realization.","Exact finite-cutoff decision on whether the prior unsafe witnesses survive the UOM welded constraints.","deferred","deferred","The decision is about the exact welded preserved channel and leaves the unreduced Gaussian completion-sector operator reconstruction open.","Deferred","Deferred","To be assigned",true,"Main Mathematica rework lane grounded in UOM welded/fact-preserving structure",""
"task:uom-welded-boundary-ambiguity-annihilation","Transported ambiguity directions on the exact preserved welded boundary image.","Exact matrix audit of the compiled welded boundary image after descended-scalar factorization.","deferred","deferred","The certificate is for the exact preserved welded boundary image, not the full completion-sector operator algebra.","Deferred","Deferred","To be assigned",true,"Main Mathematica welded-boundary canonicalization lane built on UOM welded/fact-preserving data",""
"task:uom-welded-boundary-class-defined-derivation","Boundary derivation induced by any representative in the transported affine class after compiled welded projection.","Exact derivation equality test on the preserved welded boundary algebra.","deferred","deferred","Representative-independence is certified on the finite-dimensional compiled welded algebra only.","Deferred","Deferred","To be assigned",true,"Main Mathematica welded-boundary canonicalization lane",""
"task:uom-welded-boundary-calibration-invariance","Two admissible canonical representatives in the same transported affine class viewed after compiled welded projection.","Exact calibration comparison after UOM welded boundary projection.","deferred","deferred","Calibration invariance is certified only after projection to the preserved welded boundary image.","Deferred","Deferred","To be assigned",true,"Main Mathematica welded-boundary canonicalization lane plus WL canonical-representative machinery",""
"task:uom-welded-boundary-nontriviality","The surviving class representative line on the exact preserved welded boundary image.","Exact nonvanishing commutator audit on a compiled welded boundary observable.","deferred","deferred","Nontriviality is shown on an exact compiled welded boundary algebra witness, not on the unreduced microscopic completion sector.","Deferred","Deferred","To be assigned",true,"Main Mathematica welded-boundary canonicalization lane",""
"task:uom-welded-log-shape","Macro/micro welded pulse formulas on the accepted UOM branch.","Exact contract audit of temporal and spatial welded LoG shape formulas.","deferred","deferred","The WL lane certifies the exact algebraic contract, not the full continuum convolution derivation.","Deferred","Deferred","To be assigned",true,"UOM/compressed_log_spectral_selection_note.tex and UOM welded pulse notes",""
"task:uom-co-centering","Accepted welded pulse center alignment across the compiled macro/micro channel.","Exact co-centering contract audit on the welded pulse data.","deferred","deferred","Co-centering is represented by the exact finite-cutoff contract rather than by a continuum transport proof.","Deferred","Deferred","To be assigned",true,"UOM welded pulse notes and compressed welded LoG lane",""
"task:uom-bandlock-to-receiver","Receiver-cutoff locking of the welded pulse widths.","Exact band-lock contract audit for the welded temporal and spatial scales.","deferred","deferred","Band-lock is certified as an exact algebraic contract at fixed cutoff.","Deferred","Deferred","To be assigned",true,"UOM welded band-lock lane",""
"task:uom-compressed-line-rank","Compressed welded boundary image at one accepted cutoff.","Exact rank-one projector audit for the welded LoG line.","deferred","deferred","The line rank is certified for the exact finite-dimensional compiled image only.","Deferred","Deferred","To be assigned",true,"UOM/compressed_log_spectral_selection_note.tex:259-288 plus WL welded channel lane",""
"task:uom-channel-factorization","Accepted finite-cutoff boundary channel written as projected Weyl-compensated compiled transport.","Exact contract audit of T_Lambda = Pi_L o M_epsilon o K_comp o G_ret o W_src.","deferred","deferred","The WL lane certifies an exact finite-dimensional factorization surrogate rather than the full SK-to-boundary reconstruction.","Deferred","Deferred","To be assigned",true,"UOM/main.tex and Main Mathematica accepted-channel contract lane",""
"task:uom-uplift-isometry-surrogate","Finite-cutoff uplift/Stinespring realization compatible with the accepted welded channel contract.","Exact isometry audit for the chosen uplift surrogate.","deferred","deferred","Only the selected finite-dimensional uplift surrogate is certified.","Deferred","Deferred","To be assigned",true,"UOM accepted-channel lane plus WL uplift surrogate",""
"task:uom-app-cptp-surrogate","Accepted tick map on the finite pointer sector below cutoff.","Exact Kraus-completeness and CPTP surrogate audit.","deferred","deferred","The CPTP certificate is for the exact finite-dimensional surrogate only.","Deferred","Deferred","To be assigned",true,"UOM/main.tex accepted-tick lane plus WL Kraus surrogate",""
"task:uom-accepted-record-preservation","Accepted record algebra below cutoff under the exact accepted channel surrogate.","Exact preservation audit against an intentional ablation witness.","deferred","deferred","Preservation is certified on finite-dimensional pointer models only.","Deferred","Deferred","To be assigned",true,"UOM/main.tex accepted-record lane plus WL accepted-channel contract lane",""
"task:uom-p3-admissibility","Finite-cutoff P3 least-action admissibility on the welded candidate family.","Exact contract audit over finitely many candidate welded channel families.","deferred","deferred","Only exact symbolic contract families are compared; no continuum variational theorem is reproved.","Deferred","Deferred","To be assigned",true,"UOM active-response transport and descendant-note admissibility lanes",""
"task:uom-sk-gaussian-selection","Least-influence SK Gaussian selection on admissible finite-cutoff welded families.","Exact ranking audit of Gaussian drive/squeeze contracts.","deferred","deferred","The lane certifies symbolic contract data rather than the full continuum Gaussian optimization problem.","Deferred","Deferred","To be assigned",true,"UOM SK least-influence selection notes",""
"task:uom-welded-family-selection","Selected admissible welded channel family at finite cutoff.","Exact admissibility contract reducing to the welded rank-one factorized channel.","deferred","deferred","The selected family is finite-dimensional contract data, not a universal theorem over all boundary channels.","Deferred","Deferred","To be assigned",true,"UOM welded family-selection contract lane",""
"task:uom-ablation-fact-preservation","Exact welded boundary audit with accepted-record preservation removed.","Finite-dimensional ablation classification on the preserved welded boundary image.","deferred","deferred","The ablation outcome is model-exact and does not by itself settle all microscopic realizations.","Deferred","Deferred","To be assigned",true,"Main Mathematica UOM welded ablation lane",""
"task:uom-ablation-bandlock","Exact welded boundary audit with receiver band-lock relaxed.","Finite-dimensional ablation classification on the compiled boundary image.","deferred","deferred","The ablation outcome is an exact channel-family witness, not a universal no-go theorem.","Deferred","Deferred","To be assigned",true,"Main Mathematica UOM welded ablation lane",""
"task:uom-ablation-compressed-rank","Exact welded boundary audit with the rank-one compressed line replaced by a higher-rank channel.","Finite-dimensional ablation classification on the compiled boundary image.","deferred","deferred","The higher-rank witness is exact but model-specific.","Deferred","Deferred","To be assigned",true,"Main Mathematica UOM welded ablation lane",""
"task:uom-ablation-co-centering","Exact welded boundary audit with co-centering relaxed.","Finite-dimensional ablation classification on the compiled boundary image.","deferred","deferred","The co-centering witness is exact but model-specific.","Deferred","Deferred","To be assigned",true,"Main Mathematica UOM welded ablation lane",""
"task:uom-ablation-descended-scalar-factorization","Exact welded boundary audit with the descended-scalar factorization replaced by a generic control map.","Finite-dimensional ablation classification against the legacy unsafe lane.","deferred","deferred","The certificate compares exact finite-dimensional channel families rather than the full continuum reconstruction.","Deferred","Deferred","To be assigned",true,"Main Mathematica UOM welded ablation lane plus legacy generic surrogate lane",""
"task:uom-minimal-boundary-safe-hypothesis-set","Minimal exact welded-boundary hypothesis package found by the ablation audit.","Exact implication audit H_min => W_Lambda(A^-_Lambda) = 0 on the preserved welded boundary image.","deferred","deferred","Minimality is relative to the exact ablation family encoded in WL.","Deferred","Deferred","To be assigned",true,"Main Mathematica UOM welded ablation lane",""
"task:legacy-generic-visible-ambiguity","Legacy generic boundary surrogates without the UOM welded contract.","Exact regression audit reproducing visible ambiguity witnesses.","deferred","deferred","These are deliberately negative-control models, not physical channel claims.","Deferred","Deferred","To be assigned",true,"Legacy split+welded/generic-boundary surrogate lane",""
"task:legacy-generic-splitblock-countermodels","Legacy generic splitBlock countermodels retained as negative controls.","Exact unsafe-family regression audit on transported and generic surrogate realizations.","deferred","deferred","The lane preserves countermodels on purpose and does not claim physical admissibility.","Deferred","Deferred","To be assigned",true,"Legacy splitBlock negative-control lane",""
"task:sk-minimal-gaussian-completion-reconstruction","Exploratory exact algebraic completion lift compatible with the welded boundary block.","Exact finite-dimensional audit of an appended algebraic completion lift.","deferred","deferred","This is an exploratory exact algebraic extension of the welded boundary block. | It is not yet a faithful UOM split/completion reconstruction.","Deferred","Deferred","To be assigned",true,"Main Mathematica completion-sector reconstruction lane",""
"task:sk-completion-ambiguity-visibility","Transported ambiguity evaluated on the exploratory exact algebraic completion lift.","Exact classification as strong-safe, mod-null-safe, or visible-again on the exploratory algebraic completion model.","deferred","deferred","The classification is for the encoded exploratory algebraic model only. | It is not a selector-necessity decision and not yet a verdict on the UOM split model.","Deferred","Deferred","To be assigned",true,"Main Mathematica completion-sector reconstruction lane",""
"task:sk-completion-boundary-lift","Boundary projection of the exploratory algebraic completion lift back to the welded boundary image.","Exact boundary-compatibility audit for the exploratory completion-sector lift.","deferred","deferred","Compatibility is certified only for the chosen exploratory exact model.","Deferred","Deferred","To be assigned",true,"Main Mathematica completion-sector reconstruction lane",""
"task:sk-intrinsic-response-map-contract","Intrinsic response-map contract derived from the compressed welded boundary image without appended free completion functionals.","Exact contract extraction from chi and the accepted welded response map.","deferred","deferred","This certifies a finite-dimensional contract realization of the intrinsic response map, not the full continuum response theorem.","Deferred","Deferred","To be assigned",true,"UOM/canonical_odd_interface_note.tex plus Main Mathematica intrinsic-response contract lane",""
"task:sk-split-controlled-lift-contract","Split-faithful A|B lift with classical-control/QND ledger sector and completion sector built from the intrinsic response contract.","Exact tensor-product controlled-lift audit and ledger-projector commutation checks.","deferred","deferred","The lift is a contract-level finite-dimensional surrogate for the split structure, not a full microscopic split theorem.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex plus Main Mathematica split-controlled lift lane",""
"task:sk-gaussian-completion-contract","Gaussian completion contract derived from the intrinsic response map and compressed active line, with no appended free functional.","Exact finite-dimensional quadrature/covariance contract audit.","deferred","deferred","This is a contract-level Gaussian realization surrogate, not the full SK kernel reconstruction.","Deferred","Deferred","To be assigned",true,"UOM/canonical_odd_interface_note.tex and UOM/compressed_log_spectral_selection_note.tex plus Main Mathematica Gaussian-completion contract lane",""
"task:sk-split-faithful-completion-ambiguity-decision","Split-faithful completion decision combining intrinsic response, controlled split, derived Gaussian completion, and lifted fact preservation.","Exact ambiguity audit on the split-faithful completion contract.","deferred","deferred","The decision is contract-level and does not yet settle the full microscopic completion-sector theorem.","Deferred","Deferred","To be assigned",true,"Main Mathematica split-faithful completion audit lane",""
"task:uom-contract-traceability","Current WL contract ingredients for welded boundary safety and split-faithful completion.","Exact source/role classification against Main, UOM, and 2T-LS labels.","deferred","deferred","The traceability table is only as fine-grained as the current live theorem/assumption labels. | The completion entries are still non-promoted: one is a bounded packaging theorem on explicit split data, while the Gaussian completion layer remains assumption-backed.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex, UOM live notes, and latex/limited_scope_theorem_PRL_Supplementary.tex",""
"task:mock-cosmology-interface-realizations","UOM realization, synthetic non-UOM realizations, and a visible-ambiguity negative control.","Exact mock-realization audit for interface candidacy.","deferred","deferred","Synthetic realizations certify interface shape, not microscopic physics.","Deferred","Deferred","To be assigned",true,"Main Mathematica interface-search lane plus UOM welded/completion contracts",""
"task:cosmology-interface-boundary-minimality","Nested boundary-interface candidates I0, I1, I2.","Exact minimality search on mock realizations.","deferred","deferred","Minimality is certified only in the current exact mock family.","Deferred","Deferred","To be assigned",true,"Main abstract interface lane cross-checked against UOM contract realizations",""
"task:cosmology-interface-completion-minimality","Nested completion-aware interface candidates I0, I1, I2.","Exact minimality search on completion-aware mock realizations.","deferred","deferred","Completion-aware minimality remains contract-level and does not close the microscopic SK theorem.","Deferred","Deferred","To be assigned",true,"Main Mathematica completion-interface search lane",""
"task:boundary-contract-compression","Five-part strong-safe welded package versus a three-axiom conceptual compression.","Exact equivalence audit on the welded ablation family.","deferred","deferred","Compression is certified only inside the present exact ablation family.","Deferred","Deferred","To be assigned",true,"Main Mathematica welded ablation lane plus UOM compressed welded notes",""
"task:manuscript-insertion-gate","Current traceability, compact-interface search, and completion-scope caveats.","Joint manuscript gating decision.","deferred","deferred","This gate is about what the current exact lane honestly licenses, not about the final theorem program.","Deferred","Deferred","To be assigned",true,"Main Mathematica report lane plus UOM contract/completion reports",""
"task:Peierls-odd-derivation","Explicit associative bracket model with parity involution and odd generator J.","Exact basis-level derivation and Gamma-odd checks.","deferred","deferred","Only explicit finite-dimensional bracket models are audited. | Locality and AQFT/HLS remain imported.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2055-2130",""
"task:delta-calibration-sensitivity","Two canonical representatives Jcan_B1 and Jcan_B2 in an explicit bracket model.","Exact derivation-difference formula plus ambiguity-triviality tests on the physical sector.","deferred","deferred","Physical invisibility is represented by explicit bracket-trivial ambiguity directions. | No AQFT/HLS physical-sector reconstruction is performed.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2072-2084 plus WL calibration-sensitivity lane",""
"thm:finite-cutoff-canonical-odd-spectral-selection","Certified compressed spectral regime and rank-one LoG operator.","Exact eigenvalue/projector certificates.","deferred","deferred","Branchwise smooth transport of the projector may remain an imported input.","Deferred","Deferred","To be assigned",true,"UOM/compressed_log_spectral_selection_note.tex:259-288",""
"thm:Main-Peierls-Hamiltonization","Canonical representative plus imported bracket axioms on a concrete model.","Formal rewrite + exact model checks.","deferred","abstract-imported-assumptions","Bracket locality and AQFT/HLS semantics stay imported. | Only explicit concrete models can be machine-audited here.","Deferred","Deferred","Explicit bracket models only",true,"Main/appendix_main.tex:2072-2084",""
